datetime,timestamp_desc,source,event,message,parser,display_name,tag
2018-06-13T18:23:16.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:24:56.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:00.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:00.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:04.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:04.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:04.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:04.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:10.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:10.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:10.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:10.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:10.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:10.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:14.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:22.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:24.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:24.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:24.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:24.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:24.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:24.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:24.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:24.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:46.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:48.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:48.000000+00:00,Content Modification Time,FILE,File stat,weak GPS signal,filestat,tester,-
2018-06-13T18:25:48.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-13T18:25:48.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
2018-06-13T18:25:48.000000+00:00,Content Modification Time,FILE,File stat,Tester,filestat,tester,-
